nohup: ignoring input
/workspace/yqm/NetKD/scripts/exp1_student_baseline.py:171: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
Using device: cuda:0
Loading data...
Classes: ['browsing', 'chat', 'email', 'ftp', 'p2p', 'streaming', 'voip']
Train samples: 13281, Val: 1383, Test: 1384
Number of classes: 7

Training MobileNetV2
  Parameters: 2.23M (trainable: 2.23M)
/workspace/yqm/NetKD/scripts/exp1_student_baseline.py:115: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
  Epoch 1/50: Loss=2.1183, Train Acc=52.01%, Val Acc=69.41%
  Epoch 2/50: Loss=1.0726, Train Acc=71.63%, Val Acc=79.32%
  Epoch 3/50: Loss=0.9260, Train Acc=78.57%, Val Acc=84.38%
  Epoch 4/50: Loss=0.8266, Train Acc=83.77%, Val Acc=88.21%
  Epoch 5/50: Loss=0.7617, Train Acc=87.12%, Val Acc=87.49%
  Epoch 6/50: Loss=0.7170, Train Acc=88.94%, Val Acc=91.90%
  Epoch 7/50: Loss=0.6610, Train Acc=91.84%, Val Acc=94.14%
  Epoch 8/50: Loss=0.6201, Train Acc=93.79%, Val Acc=94.50%
  Epoch 9/50: Loss=0.5924, Train Acc=94.86%, Val Acc=94.29%
  Epoch 10/50: Loss=0.5783, Train Acc=95.69%, Val Acc=94.07%
  Epoch 11/50: Loss=0.5547, Train Acc=96.65%, Val Acc=96.17%
  Epoch 12/50: Loss=0.5404, Train Acc=97.13%, Val Acc=95.08%
  Epoch 13/50: Loss=0.5466, Train Acc=96.83%, Val Acc=95.30%
  Epoch 14/50: Loss=0.5263, Train Acc=97.59%, Val Acc=96.46%
  Epoch 15/50: Loss=0.5160, Train Acc=97.96%, Val Acc=96.96%
  Epoch 16/50: Loss=0.5155, Train Acc=97.96%, Val Acc=95.16%
  Epoch 17/50: Loss=0.5113, Train Acc=98.09%, Val Acc=96.75%
  Epoch 18/50: Loss=0.5070, Train Acc=98.16%, Val Acc=96.82%
  Epoch 19/50: Loss=0.5030, Train Acc=98.25%, Val Acc=96.10%
  Epoch 20/50: Loss=0.5066, Train Acc=98.10%, Val Acc=96.46%
  Epoch 21/50: Loss=0.4970, Train Acc=98.35%, Val Acc=96.82%
  Epoch 22/50: Loss=0.4970, Train Acc=98.33%, Val Acc=96.60%
  Epoch 23/50: Loss=0.4925, Train Acc=98.46%, Val Acc=96.82%
  Epoch 24/50: Loss=0.4877, Train Acc=98.74%, Val Acc=96.96%
  Epoch 25/50: Loss=0.4782, Train Acc=98.97%, Val Acc=97.11%
  Epoch 26/50: Loss=0.4798, Train Acc=98.95%, Val Acc=96.46%
  Epoch 27/50: Loss=0.4740, Train Acc=99.11%, Val Acc=97.04%
  Epoch 28/50: Loss=0.4719, Train Acc=99.14%, Val Acc=97.61%
  Epoch 29/50: Loss=0.4645, Train Acc=99.54%, Val Acc=97.40%
  Epoch 30/50: Loss=0.4664, Train Acc=99.39%, Val Acc=97.54%
