nohup: ignoring input
/workspace/yqm/NetKD/scripts/exp1_student_baseline.py:171: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
Using device: cuda:0
Loading data...
Classes: ['browsing', 'chat', 'email', 'ftp', 'p2p', 'streaming', 'voip']
Train samples: 13281, Val: 1383, Test: 1384
Number of classes: 7

Training MobileNetV2
  Parameters: 2.23M (trainable: 2.23M)
/workspace/yqm/NetKD/scripts/exp1_student_baseline.py:115: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
  Epoch 1/50: Loss=2.2634, Train Acc=53.31%, Val Acc=74.11%
  Epoch 2/50: Loss=1.0729, Train Acc=72.40%, Val Acc=75.70%
  Epoch 3/50: Loss=0.9160, Train Acc=79.53%, Val Acc=84.60%
  Epoch 4/50: Loss=0.8169, Train Acc=84.32%, Val Acc=86.91%
  Epoch 5/50: Loss=0.7388, Train Acc=87.89%, Val Acc=90.02%
  Epoch 6/50: Loss=0.6974, Train Acc=89.77%, Val Acc=91.54%
  Epoch 7/50: Loss=0.6459, Train Acc=92.43%, Val Acc=92.91%
  Epoch 8/50: Loss=0.6126, Train Acc=94.01%, Val Acc=94.14%
  Epoch 9/50: Loss=0.5955, Train Acc=94.86%, Val Acc=95.01%
  Epoch 10/50: Loss=0.5882, Train Acc=95.02%, Val Acc=94.94%
  Epoch 11/50: Loss=0.5606, Train Acc=96.42%, Val Acc=95.52%
  Epoch 12/50: Loss=0.5405, Train Acc=97.21%, Val Acc=94.79%
  Epoch 13/50: Loss=0.5350, Train Acc=97.36%, Val Acc=96.75%
  Epoch 14/50: Loss=0.5287, Train Acc=97.52%, Val Acc=95.73%
  Epoch 15/50: Loss=0.5264, Train Acc=97.46%, Val Acc=95.88%
  Epoch 16/50: Loss=0.5258, Train Acc=97.36%, Val Acc=95.16%
  Epoch 17/50: Loss=0.5169, Train Acc=97.78%, Val Acc=96.67%
  Epoch 18/50: Loss=0.5101, Train Acc=97.94%, Val Acc=96.10%
  Epoch 19/50: Loss=0.5056, Train Acc=98.09%, Val Acc=96.53%
  Epoch 20/50: Loss=0.5072, Train Acc=97.95%, Val Acc=96.24%
  Epoch 21/50: Loss=0.4953, Train Acc=98.49%, Val Acc=96.24%
  Epoch 22/50: Loss=0.4967, Train Acc=98.34%, Val Acc=97.32%
  Epoch 23/50: Loss=0.4904, Train Acc=98.68%, Val Acc=96.67%
  Epoch 24/50: Loss=0.4958, Train Acc=98.31%, Val Acc=97.04%
  Epoch 25/50: Loss=0.4820, Train Acc=98.86%, Val Acc=96.53%
  Epoch 26/50: Loss=0.4794, Train Acc=98.98%, Val Acc=96.60%
  Epoch 27/50: Loss=0.4763, Train Acc=99.06%, Val Acc=97.18%
  Epoch 28/50: Loss=0.4673, Train Acc=99.39%, Val Acc=96.46%
  Epoch 29/50: Loss=0.4700, Train Acc=99.30%, Val Acc=97.32%
  Epoch 30/50: Loss=0.4669, Train Acc=99.39%, Val Acc=97.47%
