Dataset,Ratio,Model_Type,Model_Name,Avg_Acc,Std_Acc,Avg_F1,Std_F1,N_Runs
ISCXVPN2016,100,Teacher,densenet121,98.3140655105973,0.23226519173874832,97.38369969135256,0.25153307137527514,3
ISCXVPN2016,100,Teacher,mobilenetv3,97.83236994219654,0.21676300578035068,96.77715413152714,0.2661462416971425,3
ISCXVPN2016,100,Teacher,convnextv2_tiny,97.42292870905588,0.08343211982508644,96.34823070407691,0.24765661950679765,3
ISCXVPN2016,100,Stacking,Ensemble,98.45857418111753,0.37078045082708316,97.67950617195561,0.6112157940761962,3
ISCXVPN2016,100,Student,RepViT-M0.9,97.54335260115607,0.07225433526011926,96.55092167440746,0.3238601118490934,3
ISCXVPN2016,75,Teacher,densenet121,96.94123314065511,0.7237465896587965,95.88573105398454,0.9759828344549553,3
ISCXVPN2016,75,Teacher,mobilenetv3,95.73699421965318,1.112341352481259,94.15581428523576,1.5207196830516214,3
ISCXVPN2016,75,Teacher,convnextv2_tiny,95.92967244701349,0.5423087788630783,94.35847477594768,0.9349296293537694,3
ISCXVPN2016,75,Stacking,Ensemble,97.0616570327553,0.48109307214446534,95.63260321708474,0.71794341842522,3
ISCXVPN2016,75,Student,RepViT-M0.9,96.02601156069365,0.07225433526011926,94.51518223192416,0.26450663834388,3
ISCXVPN2016,50,Teacher,densenet121,94.43641618497111,0.6967955752162501,91.89325198918937,1.2291225778415653,3
ISCXVPN2016,50,Teacher,mobilenetv3,29.26300578034682,1.1263336176387204,6.466974185419111,0.19358109136596255,3
ISCXVPN2016,50,Teacher,convnextv2_tiny,93.8102119460501,0.49182509288685355,91.37773549819632,1.1245065814409452,3
ISCXVPN2016,50,Stacking,Ensemble,95.15895953757224,0.43950596317184487,93.00570251256619,0.7941991443794862,3
ISCXVPN2016,50,Student,RepViT-M0.9,92.84682080924854,0.4395059631718402,90.7792852838967,0.8871668269939985,3
ISCXVPN2016,25,Teacher,densenet121,91.257225433526,0.37544453921290544,87.42590616377856,0.9230610990370622,3
ISCXVPN2016,25,Teacher,mobilenetv3,29.26300578034682,1.1263336176387204,6.466974185419111,0.19358109136596255,3
ISCXVPN2016,25,Teacher,convnextv2_tiny,83.5019267822736,2.0338450995708857,82.91966992403154,1.8251937885382647,3
ISCXVPN2016,25,Stacking,Ensemble,91.73892100192678,0.46453038347750186,88.23981064413323,0.7312159373788707,3
ISCXVPN2016,25,Student,RepViT-M0.9,86.65703275529864,1.2438103404311538,84.09816068451545,0.9592380458995017,3
ISCXTor2016,100,Teacher,densenet121,99.65706447187928,0.06858710562413961,99.6209644480178,0.06921348393111718,3
ISCXTor2016,100,Teacher,mobilenetv3,98.87974394147233,0.5238426720342706,98.81472094743906,0.5558106548091146,3
ISCXTor2016,100,Teacher,convnextv2_tiny,99.83996342021032,0.10476853440685505,99.80596087860103,0.12262313859018834,3
ISCXTor2016,100,Stacking,Ensemble,99.81710105166894,0.1427754457795729,99.80623296275714,0.12216245523303626,3
ISCXTor2016,100,Student,RepViT-M0.9,99.24554183813443,0.29896426224558126,99.21923949728578,0.31526174702700344,3
ISCXTor2016,75,Teacher,densenet121,99.47416552354822,0.1726070972855642,99.45198118068588,0.19106481288251861,3
ISCXTor2016,75,Teacher,mobilenetv3,40.603566529492454,47.93532154442424,33.822632188249706,53.625480261286775,3
ISCXTor2016,75,Teacher,convnextv2_tiny,99.88568815729309,0.0395987838950302,99.86657765759998,0.029778552983544263,3
ISCXTor2016,75,Stacking,Ensemble,99.79423868312756,0.1814644246271983,99.77998353387767,0.17729826305026922,3
ISCXTor2016,75,Student,RepViT-M0.9,96.7535436671239,1.0676995362446828,96.47856611697866,1.1159442767834633,3
ISCXTor2016,50,Teacher,densenet121,97.11934156378601,0.8968927867367682,96.89458459725455,0.9239190558733068,3
ISCXTor2016,50,Teacher,mobilenetv3,13.031550068587103,0.3563890550553251,2.8821346970905317,0.06986492363453616,3
ISCXTor2016,50,Teacher,convnextv2_tiny,99.19981710105166,0.3777483228591269,99.09660304907749,0.4294051319894453,3
ISCXTor2016,50,Stacking,Ensemble,99.33699131229996,0.1726070972855642,99.26490079562943,0.144654181840466,3
ISCXTor2016,50,Student,RepViT-M0.9,89.82624599908551,2.0280609084266175,88.85064128088284,2.3263893852456747,3
ISCXTor2016,25,Teacher,densenet121,83.21902149062642,2.663735756225665,82.45827027932305,2.753784071333873,3
ISCXTor2016,25,Teacher,mobilenetv3,15.592135345221765,2.5739209531773457,3.3649863319840136,0.48802670571114043,3
ISCXTor2016,25,Teacher,convnextv2_tiny,96.68495656149976,0.826846882488581,96.50232157218058,0.8861905114831875,3
ISCXTor2016,25,Stacking,Ensemble,95.31321444901693,0.4134234412442901,95.06793053756012,0.41997211010006147,3
ISCXTor2016,25,Student,RepViT-M0.9,68.38134430727023,2.796975103443575,66.48080982452798,2.7349593154188723,3
